month,revenue_tm0,revenue_tm1,streams_tm0,streams_tm1,streams_tm2,facebook_likes,facebook_talks,instagram_followers,spotify_followers,spotify_listeners,spotify_popularity,wikipedia_views,youtube_comments,youtube_subscribers,youtube_videos,youtube_views
5/1/17,84543.14367,85801.53197,28430165,28811572,41935463,0,0,222970,403088,0,65,2189,0,96561,178,33171065
6/1/17,79006.31345,84543.14367,24744906,28430165,28811572,0,0,229462,411513,0,66,2187,0,96991,178,33430742
7/1/17,90615.38078,79006.31345,26292838,24744906,28430165,0,0,236037,420254,0,67,2836,0,97429,178,33676915
8/1/17,90924.79991,90615.38078,25348381,26292838,24744906,0,0,243355,430288,0,68,2539,0,97863,178,33916539
9/1/17,89548.22704,90924.79991,24169091,25348381,26292838,0,0,252518,440601,0,69,2620,0,98299,178,34121246
10/1/17,100395.0144,89548.22704,27894728,24169091,25348381,0,0,266369,452781,0,70,2525,0,99014,178,34357723
11/1/17,105069.8725,100395.0144,32309432,27894728,24169091,3986215,0,274802,464681,0,70,2814,0,100209,178,34601227
10/1/18,245986.1835,141890.6173,57480625,42267500,39451644,4093350,79960,516949,728495,3222412,71,15637,0,1318087,190,37596162
7/1/16,186865.3368,159642.2891,33808765,27808826,28524758,3486657,0,0,0,0,0,3234,5780,74352,121,16770870
7/1/18,253286.4491,248571.6294,56002185,56018486,53026932,3380694,5129,254247,1304222,6445197,71,4130,0,463351,144,39717154
9/1/18,212825.7194,237923.5475,49740304,54510615,56002185,3369338,4602,268195,1349894,6204657,73,3352,0,482021,144,42744365
6/1/16,3481.214189,4712.529983,474999,656848,638516,0,0,0,0,0,0,982,0,0,0,0
7/1/16,3864.909242,3481.214189,549616,474999,656848,0,0,0,0,0,0,993,0,0,0,0
8/1/16,3759.573733,3864.909242,546562,549616,474999,0,0,0,0,0,0,959,0,0,0,0
8/1/17,82255.07559,139740.7924,14223192,20899114,24841794,11104941,0,1128634,952864,0,78,6061,7043,100012,92,23087874
8/1/16,30570.13162,32774.45736,6227102,6442184,6150879,3975465,0,0,0,0,0,2348,1048,421058,30,235918795
6/1/18,40709.49199,39084.31628,15583938,15314541,15423872,3862743,2709,0,820067,6190892,74,2223,0,659194,32,371982396
9/1/18,38503.82404,38994.80046,16543655,17065778,17103900,3832381,2806,1186131,917793,6603512,73,2462,0,693793,32,390446306
5/1/16,19678.36711,22153.42838,3972368,4385166,4299804,25395619,0,2465577,0,0,0,11400,0,0,0,0
9/1/17,29084.54821,29553.90907,6807696,7093076,6522083,24952679,0,4216167,1714215,0,81,5292,0,0,0,0
9/1/18,43159.23007,35851.84537,14296788,12556294,11394556,24292024,49886,5677381,3494594,11995164,78,7174,0,0,72,2107089796
6/1/16,98728.14734,102403.4053,23912963,26638480,27795796,45534422,0,0,0,0,0,11093,0,0,0,0
7/1/16,103650.8001,98728.14734,26920216,23912963,26638480,45585162,0,0,0,0,0,12943,18232,4784556,67,3451377678
4/1/17,97817.08899,99388.71812,34800668,34483744,28489554,45413697,0,64114104,1711766,0,76,16507,18232,5941798,89,4161827356
